,course_title,price,num_subscribers,num_reviews,num_lectures,content_duration,published_date,subject,Beginner Level,Expert Level,Intermediate Level
0,Ultimate Investment Banking Course,200,2147,23,51,1.5,2017-01-18,Business Finance,0,0,0
1,Complete GST Course & Certification - Grow Your CA Practice,75,2792,923,274,39.0,2017-03-09,Business Finance,0,0,0
2,Financial Modeling for Business Analysts and Consultants,45,2174,74,51,2.5,2016-12-19,Business Finance,0,0,1
3,Beginner to Pro - Financial Analysis in Excel 2017,95,2451,11,36,3.0,2017-05-30,Business Finance,0,0,0
4,How To Maximize Your Profits Trading Options,200,1276,45,26,2.0,2016-12-13,Business Finance,0,0,1
5,Trading Penny Stocks: A Guide for All Levels In 2017,150,9221,138,25,3.0,2014-05-02,Business Finance,0,0,0
6,Investing And Trading For Beginners: Mastering Price Charts,65,1540,178,26,1.0,2016-02-21,Business Finance,1,0,0
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",95,2917,148,23,2.5,2015-01-30,Business Finance,0,0,0
8,Options Trading 3 : Advanced Stock Profit and Success Method,195,5172,34,38,2.5,2015-05-28,Business Finance,0,1,0
9,The Only Investment Strategy You Need For Your Retirement,200,827,14,15,1.0,2017-04-18,Business Finance,0,0,0
10,Forex Trading Secrets of the Pros With Amazon's AWS,200,4284,93,76,5.0,2015-09-11,Business Finance,0,0,0
11,Trading Options With Money Flow,200,1380,42,17,1.0,2016-10-18,Business Finance,0,0,0
12,Financial Management Risk and Return For Securities,30,3607,21,19,1.5,2016-02-03,Business Finance,0,0,0
13,Forex Trading Course: Work Smarter Not Harder Proven Results,195,4061,52,16,2.0,2016-03-16,Business Finance,0,0,0
14,Python Algo Trading: Sentiment Trading with News,200,294,19,42,7.0,2017-04-28,Business Finance,0,0,0
15,Short Selling: Learn To Sell Stocks Before The Fall,75,2276,106,19,1.5,2015-06-22,Business Finance,0,0,1
16,Basic Technical Analysis: Learn the structure of the market,20,4919,79,16,1.5,2016-01-08,Business Finance,1,0,0
17,The Complete Chart Pattern Trading Course: A Proven Approach,200,2666,115,52,4.0,2015-08-10,Business Finance,0,0,0
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,50,5354,24,23,1.5,2015-09-21,Business Finance,0,0,0
19,Financial Statements Made Easy,95,8095,249,12,0.5833333333333334,2013-06-09,Business Finance,1,0,0
20,Winning Forex Trading with Live Forex Trading Examples,200,809,3,25,2.0,2017-06-06,Business Finance,0,0,0
21,Forex Traders - Create Your First Trading Robot. No Coding!,200,2295,84,39,4.0,2016-05-02,Business Finance,0,0,0
22,Create A Business From Home Trading Stocks Today In 2017,75,10149,83,16,2.0,2015-05-26,Business Finance,0,0,0
23,Introduction to Accounting : Mastering Financial Statements,50,1916,38,23,1.0,2016-12-05,Business Finance,1,0,0
24,The Complete Ethereum Course: Get .01 Ether In Your Wallet,45,2507,333,40,2.0,2016-05-30,Business Finance,0,0,0
25,Beginner to Pro in PowerPoint: Complete PowerPoint Training,150,5786,518,50,5.0,2015-01-31,Business Finance,0,0,0
26,Investing 101: The Complete Online Investing Course,200,5334,373,42,4.5,2014-11-28,Business Finance,0,0,0
27,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175,4005,237,25,2.0,2015-04-12,Business Finance,0,0,1
28,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150,2877,103,81,4.5,2016-04-26,Business Finance,0,0,0
29,Forex Trading: Your Complete Guide to Get Started Like a Pro,140,1026,25,37,3.0,2017-06-27,Business Finance,1,0,0
30,Python Algo Stock Trading: Automate Your Trading!,95,1165,21,41,2.5,2017-05-28,Business Finance,1,0,0
31,THE Forex Robot: Incredible ROI (Robot Included),200,1843,171,35,1.5,2016-10-04,Business Finance,0,0,0
32,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,8797,449,80,6.5,2015-01-09,Business Finance,0,0,0
33,Mastering High Probability Iron Condor Options Trading,200,1030,11,22,2.0,2017-06-01,Business Finance,0,0,0
34,The Complete Short Course on Ethereum,200,1041,12,28,1.5,2017-06-11,Business Finance,0,0,0
35,Options Trading Stocks: Proven Toolbox For Financial Success,195,7884,118,68,10.0,2015-05-19,Business Finance,0,0,1
36,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195,16900,2476,52,5.5,2014-12-12,Business Finance,1,0,0
37,"Introduction to Finance, Accounting, Modeling and Valuation",200,11441,1118,61,4.5,2016-06-28,Business Finance,0,0,0
38,Beginner to Pro in Excel: Financial Modeling and Valuation,195,22257,2697,138,7.5,2014-11-25,Business Finance,0,0,0
